"kingdom","kingdomKey","phylum","phylumKey","class","classKey","order","orderKey","family","familyKey","genus","genusKey","species","speciesKey"
"Animalia",1,"Cnidaria",43,"Anthozoa",206,"Pennatulacea",710,"Virgulariidae",7308,"Emmonsaspis",4575491,"",NULL
"Animalia",1,"Arthropoda",54,"Insecta",216,"Lepidoptera",797,"Tortricidae",5343,"Pandemis",1743811,"Pandemis lamprosana",1743838
"Animalia",1,"Arthropoda",54,"Insecta",216,"Coleoptera",1470,"Carabidae",3792,"Harpalus",1035821,"Harpalus vagans",7461503
"Animalia",1,"Chordata",44,"Actinopterygii",204,"Clupeiformes",538,"Clupeidae",7332,"Dorosoma",2413540,"Dorosoma cepedianum",2413541
"Animalia",1,"Chordata",44,"Aves",212,"Anseriformes",1108,"Anatidae",2986,"Dendrocygna",2498392,"Dendrocygna autumnalis",2498393
"Animalia",1,"Arthropoda",54,"Insecta",216,"Orthoptera",1458,"Tetrigidae",3040,"Tetrix",1681026,"Tetrix arenosa",5095380
"Animalia",1,"Arthropoda",54,"Insecta",216,"Hemiptera",809,"Cicadellidae",9647,"Fitchana",2045368,"Fitchana vitellinus",2045371
"Animalia",1,"Arthropoda",54,"Insecta",216,"Coleoptera",1470,"Buprestidae",3789,"Brachys",3260850,"Brachys aerosus",6004203
"Animalia",1,"Arthropoda",54,"Insecta",216,"Coleoptera",1470,"Carabidae",3792,"Elaphrus",1035537,"Elaphrus fuliginosus",1035539
"Animalia",1,"Arthropoda",54,"Insecta",216,"Orthoptera",1458,"Acrididae",9394,"Melanoplus",1698834,"Melanoplus keeleri",1698848
"Animalia",1,"Arthropoda",54,"Insecta",216,"Coleoptera",1470,"Cerambycidae",5602,"Aegomorphus",1126015,"Aegomorphus modestus",5003401
"Animalia",1,"Arthropoda",54,"Insecta",216,"Hemiptera",809,"Nepidae",7892,"Ranatra",2007594,"Ranatra fusca",5152469
"Animalia",1,"Arthropoda",54,"Insecta",216,"Lepidoptera",797,"Erebidae",4532185,"Idia",7535296,"Idia denticulalis",9460510
"Animalia",1,"Mollusca",52,"Gastropoda",225,"Stylommatophora",1456,"Euconulidae",4304743,"Euconulus",4304719,"Euconulus fulvus",4304721
"Animalia",1,"Arthropoda",54,"Insecta",216,"Lepidoptera",797,"Geometridae",6950,"Selenia",1962165,"Selenia kentaria",5144227
"Animalia",1,"Mollusca",52,"Gastropoda",225,"Stylommatophora",1456,"Limacidae",6537,"Limax",2295435,"Limax maximus",2295438
"Animalia",1,"Arthropoda",54,"Insecta",216,"Lepidoptera",797,"Noctuidae",7015,"Acronicta",1782659,"Acronicta americana",1783008
